student_id,course_id,courses_viewed,courses_completed,learning_progress,quiz_scores,time_spent,likes,rating
S001,C001,1,1,100,84,21.5,1,3
S001,C002,1,0,12,88,13.2,1,4
S001,C004,1,1,100,73,22.5,1,4
S001,C005,1,0,27,94,23.9,0,3
S002,C002,1,0,68,64,11.2,0,5
S002,C003,1,1,100,99,14.8,1,4
S002,C004,1,1,100,65,16.0,1,5
S002,C005,1,1,100,85,20.7,0,4
S003,C003,1,0,30,89,20.3,1,4
S003,C004,1,1,100,72,15.7,0,4
S003,C005,1,1,100,100,18.6,1,4
S004,C001,1,0,74,90,9.2,0,4
S004,C002,1,1,100,94,2.8,1,5
S004,C003,1,0,17,94,14.1,1,4
S004,C004,1,0,16,82,21.2,1,5
S004,C005,1,0,43,98,7.5,1,5
S005,C001,1,1,100,97,9.4,1,5
S005,C002,1,0,55,85,10.0,1,4
S005,C003,1,0,66,84,22.4,0,3
S005,C004,1,1,100,76,16.3,1,3
S006,C001,1,0,72,79,9.9,1,4
S006,C002,1,1,100,81,1.3,1,5
S006,C003,1,1,100,81,1.6,0,5
S006,C004,1,0,80,87,4.8,0,3
S006,C005,1,0,29,85,21.3,1,5
S007,C003,1,1,100,100,7.2,1,4
S007,C005,1,1,100,63,2.7,1,4
S008,C003,1,1,100,61,17.0,0,3
S008,C005,1,1,100,94,8.1,1,4
S009,C001,1,1,100,71,6.2,1,3
S009,C002,1,1,100,61,17.3,0,3
S009,C003,1,1,100,91,9.7,0,4
S009,C004,1,1,100,88,11.6,0,3
S009,C005,1,1,100,72,12.4,1,3
S010,C001,1,0,36,86,10.7,0,4
S010,C002,1,1,100,94,8.9,0,4
S010,C004,1,1,100,68,20.8,0,5
S010,C005,1,0,73,94,8.8,0,3
